comment,label
gak update upload foto profil error gimana sistem nya soal aku baru daftar kolom lain isi simpan waktu mau upload foto profil gak,negatif
efisien cepat tepat sasar ribet,positif
aplikasi bagus mudah guna siapa sedia bagai job butuh baik maupun luar daerah,positif
sangat bantu cari tenaga ajar kualitas,positif
moga cepat kerja karna aplikasi rekomendasi dr teman ku kerja sini ga boongan,positif
aplikasi nya bagus lengkap mudah buat paham admin nya ramah fast respon rekomendasi buat cari kerja,positif
sangat bagus orng yg cari kerja,positif
aplikasi mantap cari kerja rekruiter moga jaring lebih banyak orang cepat dapat kerja yg impi terimakasih,positif
aplikasi rupa platform cari kerja jamin aman karna loker lewat proses yg ketat tau aplikasi rekomendasi tik tok,positif
aplikasi sangat bagus cocok masyarakat indonesia cari butuh kerja,positif
mantap aplikasi kitalulus mudah cari kerja utk dapat kerja sesuai skill yg milik rekruter dgn mudah cari kandidat sesuai dgn standart yg butuh butuh usaha,positif
aplikasi sangat bagus sangat bantu cari lowong kerja,positif
memang aplikasi paling top buat cari kerja best pokok,positif
alhamdulillah sy dapat kerja aplikasi terimakasih,positif
aplikasi sangat bagus bantu cari lowong kerja,positif
aplikasi lancar ga ngelag sama sekali fitur nya banyak banyak potong harga layan cs nya cepat ramah merespon,positif
aplikasi bagus aku baru mau review sesuai alam aku yah tahun aku nyari info loker sini alhamdulillah sekarang udah kerja lama tahun sekarang mau cari loker yg kepo gimana cara gampang kok beberapa loker kalian diarahin aplikasi langsung wa usaha tuju inget yah sabardan jangan lupa doa buat cari loker nya semangat,positif
aplikasi sangat keren lengkap buat cv tarik mantap kitalulus,positif
aplikasi sangat bagus bantu mudah cari kerja,positif
keren baru apply lngsung panggil interview moga depan makin maju amanah info lowker nya thanks,positif
bintang aja dul bagaimana tdk daftar yg sdh pernah daftar sih,negatif
search enginnya ngaco gitu cari atas keluar bawah gak bener,negatif
aplikasi bagus buat cv nya kl yg emg blm punya cvcm aneh aja ga pernah yg nyantol kl ngelamar lowong tuhentah emg rekruternya males liat emg aplikasi jelek salah sistem udh kali ngelamar lewat aplikasi ga pernah tembus sm sekali emg ga jodoh sm aplikasi,netral
sangat baik cari kerja,positif
banyak pilih lamar sesuai ingin,positif
aplikasi yg sangat muas panggil kerja fiturfitur aplikasi sangat muas moga segera terima kerja,positif
bom coba mudah mudah bagus,netral
pokok nya basuk klo pakek app lulus uang jajan ahari cai,positif
aplikasi mantap cari kerja,positif
mau pasang foto profil kok gabisa mulu,negatif
ga upload foto,negatif
aplikasi bayar bonus hingga lebih waktu janji banyak misi freelance dar naik engagement semata bonus nihil bosss maaf cuma bintang sekian banyak bintang aplikasi sangat rekomendasi buat kaum rebah,negatif
aplikasi simpel bantu cari kerja sesuai bidang nya fitur mudah tarik terimakasih bantu mudah cari lowong kerja,positif
baik sekali moga kerja nya gaji beneran,positif
pernah dapet respon usaha padahal milik beberapa alam kerja milik skill lumayan mumpunitapi gpp lah emang nama untung orang beda bedaada cepet lambattapi enggak aplikasi milik beberapa pembelajarankaya latih psikotest dllthanks much lulus,positif
komplit sangat mudah,positif
terima kasih kitalulus mudah cari kerja,positif
sangat bantu buat cari kerja,positif
aplikasi nya bagus sangat bantu sayang nya buat email baru,positif
bagus aplikasi sangat bantu usaha,positif
kurang ga info lanjut kena apply bahkan interview nya,negatif
baik sangat bantu pencaker,positif
aplikasi wajib jobseeker respon admin baik moga temen jobseeker lancar mudah temu kerja jangan lupa usaha damping dgn doa gbu,positif
lebih mudah efektif cari kerja sesuai mampu,positif
cukup bantu fresh graduate sedang cari alam pertama dunia kerja,positif
keren apk buat cari kerja relevan mudah percaya aman hubung bagi usaha kantor nya benar,positif
kitalulus sangat bantu sedang cari kerja,positif
nyaman terima tambah bintang aplikasi lancaraja sihh okee lahh,positif
baru mendownload sedang coba kasih bintang dulu,netral
apk sangat bagus yg selalu butuh uang,positif
aplikasi nya sangat bantu sekaliii,positif
sangat bantu cari kerja,positif
lumayantapi hasil nya apk inimudahan dri sini rezeki,netral
sangat mudah cari kerja layan nya bagus pokok bagus deh,positif
misi freelancer gak bayar hoax gua kerja benar k harus menginstal aplikasi perban butuh ktp gua takut data privasi sebar poko beberapa hari kerja misi bayar nyesel nginstal buang buang waktu kalau nanya tipu gua gak bego akun whatsappnya aja centang biru,negatif
alhamdulillah cv terima benerapa usaha tinggal nunggu hasil akhir,positif
lebih mudah fleksibel,positif
coba lebih simple lagu jgn bnyk gimmick,negatif
sangat bantu mudah cari kerja,positif
susahh udh apply bnyk tpi gk info lanjut kya useless,netral
minta hadir fitur hapus berkas lamar lamar yg gagal respon hapus penuh folder,netral
apk nya sangat bantu moga segera dapat kerja amiin,positif
bagus aplikasi sangat bantu mudah cari kerja,positif
aplikasi mudah loker sesuai jobdesc good,positif
aplikasi sangat cocok jobseeker cari kerja,positif
aplikasi sangat bantu yg butuh kerja,positif
susah dapat loker yg jarak tempuh nya dekat rumah,negatif
sangat baik manfaat masyarakat dunia kerja,positif
percuma iklan hrd nya gk gercep ngirim beberapa pt panggil kerja jadi buat hrd mending kerja sanak sodaramu perlu pasang apk mnapun,negatif
mudah mudah ad info lanjut,netral
sangat bantu anak anak proses didik,negatif
gampang guna mudah paham tahap lengkap data,positif
moga mudah dapat kerja aminnn,positif
bantu banget cari kerja,positif
keren kerja lapang nya sangat bagus blum coba dapat kan uang nyaa,positif
tempat cari kerja cepat buat cv instan,positif
aplikasi sangat recommended banget bantu tambah uang jajan ajar,positif
cs nya sangat responsif,positif
alhamdulillah sangat bantu cari kerja keluar biaya kesana kesini,positif
apk sangat bagus bantu cari kerja tambah adminnya sangat cekat ramah baik,positif
sangat simpel bantu,positif
upload loker mudah admi fast respon cari kerja sini banyak detal,positif
aplikasi jobseeker bagus costumer service nya ramah balesnya cepet,positif
apk aku rekomendasi cari kerja mudah guna banyak banget peluang sana sedia bagai fitur canggih yg mudah match usaha mau bintang apk kitalulus,positif
aplikasi sangat bantu proses cari loker lamar kerja banyak fitur bantu mudah guna meski guna pertama aplikasi,positif
sangat baik lamar kerja,positif
sangat mudah guna aplikasi,negatif
kereeeeeen bikin cv nya mudaaaaaaaah bangetttttt aku sukaaaaaaaaaaaaaaaa,positif
alhamdulillah kerja bagus washilah aplikasi terima kasih kitalulus percaya cepat mudah,positif
aplikasi sangat bantu banyak sedia loker cocok buat cari kerja alam batas usia,positif
banyak lowong kerja satu dipanggiltiba tiba lowong sedia,negatif
sangat bantu cari bagai lowong kerja,positif
sangat bantu mudah cari kerja buat cv profesional,positif
bagus mudah erti cara cari kerja,positif
kitalulus bener mudah cari lowong kerja,positif
loker nya banyak tipu jamin freelance tanya langsung usaha usaha sebut buka lowong kerja aplikasi lulus depan mohon filter buat fitur oknum oknum jahat se enak buat lowong kerja aplikasi dampak rugi pencaker terima kasih,negatif
aplikasi tipu udah puluh lamar gw lamar g panggil interview satu aplikasi bodoh gw udah nunggu beberapa minggu bahkan udah bulan buat interview ga satu loker respon,negatif
bagus mudah erti kurang nya translate kata nya maaf kurang nya aja sangat bagus,netral
weh aplikasi kaga jelas apply lamar kaga info jelas jangan download,negatif
aplikasi yg sangat dukung cari kerja,positif
moga nya apl lulus langsung kerja,positif
makjos kitalulus membutan cv sangat muda moga muda jg lamar pakai cv,positif
kitalulus keren sangat bantu cari kerja,positif
cari lowong kerja banyak,positif
admin cepat tanggapaplikasi engga ribet engga iklan,positif
bagus buat cv cepat lengkap profil cv mungkin kurang min tambahinlah kayak sertifikat apa gitu kayak skck surat kompetensi lah terus harga apa aja dapet lama sekolah kerja biar hrd percaya mudah panggil butuh udah berapa hari lamar kadang g kabar sama sekali min fitur chat hrd kalo tambah eh btw aplikasi cari kerja paling ringan smooth hp plus lengkap info,positif
mungkin sama seperti apk akhir cari loker mungkin bom jodoh mungkin cari apk sebut moga depan bantu pencaker langsung dapet kerja timbang apply tak kabar sedikit,positif
aplikasi cukup bantu cari kerja baik alam maupun alam,positif
alhamdulillah allah sekian lama nganggur akhir nya panggil coba apk,positif
kasih bintang dulu yasoal nya lolos seleksi mulu panggil usaha tambah fitur chat doang biar chat usaha nya udah nyampe mana tahap lamar jadi gak mentok lolos awal seleksi doang baik apk nya,netral
moga lalu antara aplikasi mudah dapat kerja,positif
proses doa kan moga dapat kerja yg nyaman milik bnyk teman,positif
kasih bintang dlu mudah cari kerja kasih bintang,positif
aplikasi bukti dapat kerja tahap wawancara interview sesuai janji aplikasi ikan bintang klo lebih standing uploss buat apk,positif
aplikasi yg recommended buat pencaker suka fitur buat cv jadi apabila punya cv langsung bikin aplikasi kitalulus aja moga depan lebih baik sistem semangat buat cari kerja moga segera mungkin tawar kerja sesuai bidang masingmasing,positif
aplikasi cocok buat kalian cari kerja misi tambah cuan,positif
sangat rekomendet bantu sekali guna laku cari lowong kerja,positif
terimakasih lulussangat bantu cari kandidat karyawan,positif
aplikasi bantu sekali kalau mau cari kerja kendala langsung atas customer service nya ramah fast respon,positif
sangat bantu lamar kerja,positif
mudah cari kerja sesuai kota inginkanbest lahhhh,positif
aplikasi sangat bagus bantu cari lowong kerja,positif
tiap mau upload foto profil selalu jadi salah muncul tulis eror code,negatif
aplikasi loker paling jelek pernah guna banyak sibuk promosi lowong gak jelas akan terusmenerus paksa langgan premium iklan lu ganggu banget sumpah tibatiba popup olshop muncul,negatif
coba dulu yaaa moga jadi jalan rezeki,netral
bagus anak sekolah tambah uang jajan,negatif
aplikasi kitalulus bagus kendala admin sangat responsif,positif
bantu sedang cari kerja,positif
sangat mudah cari kerja,positif
cepat perosesnya sekolah tetap terima,positif
thanks lulus real mudah,positif
aplikasi bagus fitur nya cukup bagus,positif
banyak bug pilih tipe kontrak kerja clik,negatif
aplikasi sangat sangat guna tiap org hrs punya bast,positif
aplikasi mudah cari kerja adminnya ramah banget bantu semua masalah moga segera terima kerja lewat aplikasi kitalulus,positif
bila bantu penganguran lewat aplikasi senang hati bila mana hnya cuma buat aplikasi sesuai topik mending tutup aplikasi permanen aja entah negri mau jadi apa lanjut terima aplikasi bodong,negatif
toko mau daftar pas tekan email malah ngebut lama banget jadi bingung,negatif
aplikasi sangat manfaat buru pekerjaanmantaptingkatkan terus mudah guna,positif
yg nglamar dsini jangan harap lebih yg liat hrd nya cmn yg pro udh nyoba bikin lowong sama nyari lowong apply pake yg biasa ga muncul sama skli akun yg nyari lowong smpe minggu brikut nya baru muncul baru ngelamar hari susun nya jdi yg paling bawah,negatif
aplikasi sangat cocok buat nyari kerja ga punya orang,positif
layan nya sangat cepat ramah,positif
sering ngerjain misi cuan ga pernah cairudah ngechat admin nya malah ga baca sama sekali,negatif
aplikasi nipusaya kerja freelance misi luluskatanya minggu kerja misi kirim reward nyatapi admin chattidak tanggap reward,negatif
aplikasi sangat bantu cari loker amanah,positif
bank krom lulus bohongnipu kata reward masuk nyata tuh uang masuk suruh hubung pihak buat apa memang sih uang kecil kalau banyak tipu sih sama ajah besar cukup review jadi bangkai orang jadi pikir x pakai nih aplikasi,negatif
aplikasi sangat bantu lamar kerja lebih cepat buat cv nya,positif
aplikasi sangat bantu cari kerja mudah paham banyak loker baru hari trimsss,positif
cari kerja usaha sedang buka loker selalu temu cari,negatif
aplikasi bagus bangetmemudahkan cari kerja sesuai lokasi inginkantapi sayang akun hapus pulih costumer servicenya ramah banget tanggap keluh hadap,positif
baru buat cv tau anak yg lulus sklh tinggi dapat kerja bangett terima kerja apa sangat sangat butuh uang tabung kerja sini,netral
apk yg keren mudah paham moga cepat kerja apk,positif
aplikasi sangat bantu cari kerja lowong selalu update,positif
aplikasi sangat bantu cari kerja,positif
sangat bantu buat nyari loker freelance buat ibu rumah tangga syaangnya fitur ganti email,positif
aplikasi sangat bantu cari kerja mudah guna,positif
bantu sangat bantu banget simpel jelas,positif
aplikasi sangat mudah cari lebih banyak lowong kerja asal sabar aja,positif
aplikasi sangat bantu cari kerja,positif
jelas informasi mudah guna layan aplikasi nya sangat bantu cari kerja,positif
apps kitalulus semua mudah materi sedia baik info lowong kerja real tanggung jawab sangat puas apps kitalulus sangat simple guna,positif
kasih lebih udh ngirim bagai lamar cek,netral
lulus sangat bantu semua cari kerja sesuai kriteria skill,positif
tiap buka aplikasi selalu muncul bug asik lihatlihat loker tibatiba pemberitahuan kitalulus tanggap tutup paksa kan kesel mulai scroll loker awal padahal baru banget diupdate bugnya tetep muncul,negatif
masyaallah bagus banget aplikasi moga cepet dapet kerja aplikasi terimakasih yah kitalulus,positif
kasih bintang dulu muas beri bintng moga aplikasi mudah orang cari kerja,netral
gampang cara smpe skrng panggil,netral
sangat bantu mudah cat kerja bnr sangat bantu terimakasih,positif
pertama kali download apk ga nyangka langsung terima kerja berkat lulus nyesel ga dulu download apk terima kasih lulus moga sukses jaya selalu,positif
bagus lowong update cepat benar alhamdulilah dah kerja,positif
maaf aplikasi kurang mendung main aplikasi respon update yg lebih jelas loker cari kerja,negatif
sangat bantu manfaat recommended buat cari rekrut kerja,positif
sangat bantu banget buat yg lamar rekrut jadi ga capek share sana sini cari kerja jadi langsung buka aplikasi beress dechterima kasih kitalulus moga sukses selalu,positif
aplikasi kocak loker nya mulu padahal udah sercing sesuai daerah yg mau udh cari kerja susah aplikasi nya gajelas bego,negatif
gak tau mkn kalo bayar efektivitas bagus cmn krn gua gak bayar jadi gak pernah ketrima bayar dulu loe,negatif
apk yg sangat bantu sekali cari kerja,positif
lamar kerja sesuai kualifikasi lamar non alam kerja aplikasi tulus hebat sekali langsung panggil,positif
tahun pakai ni app banding glintsdll maaf lulus kayak ajang usaha buat promosi nama lalu lowong kerja karna ngelamar bagi paling ahli random ga satu yg panggil,negatif
aplikasi sangat bantu manfaat banyak variasi kerja sini,positif
tampil sederhana fitur lengkap proses mudah cari kerja aplikasi benarbenar bantu temu peluang karier sesuai terima kasih kitalulus,positif
aplikasi sangat bantu cari kerja mudah guna customer service sangat ramah baikkk,positif
apk nya bagus recommended buat baru lulus sekolah cari kerja mantap lah pokok,positif
aplikasi lulus fiturfiturnya sangat mudah guna cari kerja posisi yg butuh jg source nya sangat banyak kualitas,positif
aplikasi sangat bantu cari lowong kerja banyak loker sedia,positif
layan baik aplikasi bantu sangatsemoga makin kembang,positif
customer service nya ramah banget cepat balas keluh aplikasi cari kerja mudahmudahan kabar baikketerima kerja salah satu usaha lamar apk lulus,positif
aplikasi sangat bagus manfaat cari kerja,positif
aplikasi kitalulus sangat bantu sekali cari kerja ingin moga cepat dapet kerja terimakasih kitalulus,positif
app semua linkya tipu semua jangan percaya apa download app segala uang rb buat masukin kode admin tolol pihak play store tindak app seger yg jadi korban,negatif
aplikasi bagus cs nya beri tanggap baik bantu,positif
tahu aplikasi kolom komentar orangorang cari kerja samping tiktok terus aku coba download nyata mirip linkedin lebih mudah paham guna utama buat cv kalo linkedin susah aku ga tau cara didownload simpan tryout latihanlatihan soal tadi aku baru coba psikotes enak bahas soal ga ngerti teks video wah keren sih jujur baru kali ketemu begini,positif
aplikasi sangat bantu cari lowong kerja lebih informatif status update wawancara user ikan tunjuk rekruter usaha nya hubung user pribadi via whatsapp atau email sendiri bingung dapat terang user rekruter sepakat ada sesi wawancara informasi kapan nya diberitahu diberitahu hubung langsu,positif
baru apk rekruter bidang sales harap banyak dapat kandidat kesini banyak review bagus rekan kerja terimakasih,positif
good bantu sekali informasi jelas detail mudah paham moga yg buat aplikasi tuhan lancar hidup dn urus tuhan yesus kati,positif
apknya bug gabisa buka link share ig,negatif
keren buat cari lokerbisa buat cv jugamudahan dapet loker,positif
gimana min kok mau pasang profil gabisa terus gagal teruskenapa sih,negatif
mudah guna laku aktifitas cari kerja,positif
update baru november bidang kerja pilih bidang hr,negatif
sangat bagusss yg cari kerja aplikasi rekomendasi buat kalian yg bener mau cari kerja,positif
aplikasi sangat bantu cari kerja call centernya respon nya cepat ramah,positif
aplikasi mudah guna terus tingkat,positif
aplikasi bagus cari kerja bikin cv,positif
aplikasi nya sangat bantu mudah cari lowong kerja sesuai butuh,positif
sangat bantu cari lamar cs nya sangat responsif,positif
kasih bintang emang bagus aplikasi ga semua ngasih loker apk lulus amanah ingat data kalian lebih penting uang jangan jadi sama kayak,positif
mantap aplikasi nya sangat anjur dapat respon baik baik admin maupun rekruter,positif
bagus sekali informasi nya selalu update buat cv aplikasi jadi langsung pakai,positif
pihak aplikasi lulus baik seleksi beri kerja soal daftar suatu usaha banyak tipu kerja periksa yaa usaha beri kerja rata rata tipu tks,negatif
great aplikasi mudah jobseeker apply kerja banyak fitur tarik kembang diri template cv elearning,positif
mau minta lebih aware sama usah mana real ada mana fake,negatif
aplikasi sangat bantu buat cari lowong kerja buat yg fresh gradute coba download apk,positif
aplikasi bagus bantu cari lowong kerja cepat akurat feedback rekruter cepat kurang jam respon,positif
sangat bagus aplikasi cari kerja mudah,positif
jadi bug hasil cari semua kategori pilih tunjuk hasil cari edit kondisi aplikasi difix ulang kali direfresh mungkin jadi salah jaring tempatprovider guna respon pihak aplikasi sangat cepat bantu terima kasih,positif
aplikasi nya error cari kerja kolom cari tulis found,negatif
fitur cari guna klik muncul lowong kerja tulis wah cari temu mohon segera baik aplikasi nya,negatif
kitalulus gak nge search tiap nge search gak muncul apa data temu terus baik,netral
aplikasi ambigu gimana gak ambigu kategori lowong tdk batas usia terang kualifikasi kerja syarat usia maksimal trus kira bgmn,netral
aplikasi nya bagus buat bantu cari lowong kerja,positif
sangat senang kenal aplikasi kitalulus dapat banyak loker freelance tarik paham,positif
responsif cepat aplikasi sangat bantu sulit keluar rumah kirim cv,positif
aplikasi cari lowong kerja keren gampang sini sedia lowong kerja ajar mahasiswadi aplikasi buat cv nya mudah isi apa perlu rekomendasi nya temanteman keluarga,positif
aplikasi sangat bantu buat cari lowong kerja setting lokasi loker tiap daerah sesuai sama butuh aplikasi mudah digunain moga depan selalu sedia loker baru amanah bantu cari kerja dapat kerja,positif
aja adminnya cari duit kode referal bonus sampe rb lah yg pake kode referal cuma dapet rb kwkwk super sekali bahkan sampe sekarang uang masuk udah hari lebih grup wa ampe tutup kagak komen dikeluarin anggota nya cari uang haram kok gitu parah,negatif
sangat bantu kendala yg hadap selesai berkat bantu kitalulus terimakasih byk moga makin sukses jaya selalu amin,positif
cukup bantu cari kerja meski susah,positif
bug bagi tipe kontrak kerja sesi tambah alam kerja radio ga muncul,negatif
sungguh sangat bantu punya kerja banyak sedia loker bagus baik bidang retail restoran maupun hotel,positif
aplikasi mudah cari kerja sedia latih psikotes,positif
pihak developer bagi filter kategori kalau tekan tombol lihat info sering riset sendiri tetap riset sendiri terimakasih,netral
rasa nyaman kitalulus karena bantu cari kerja moga senantiasa bantu baik,positif
bintang dlu banyak job nya jadi sales perban operator sekali dapet job yg sesuai syarat byk bgt max umur apa usaha skrg parah bgt gaji bawah umr aja tp syarat gak msk akal,negatif
aplikasi desain mudah paham gampang pas aku download cepet kok semua sangat bantu cari kerja moga dapet kerja menu filter ngebantu proses ngelamar via whatsapp susah uiii cari kerja jaman terimakasih buat aplikasi,positif
aplikasi sangat guna cari kerja masuk usaha lewat lulus proses jga cepat,positif
cepat mudah banyak info loker dalam sesuai apa cari,positif
sangat bantu cari kerja kembang teknologi sangat pesat thanks,positif
aplikasi cari kerja yg keren gampang banget oprasiin nya yg bikin keren kalian bikin cv sini cara yg gampang buanget tinggal isi semua yg perlu tinggal klik langsung jadi cv nya sukses buat kitalulus,positif
app lulus sangat makna orang app lulus liat skill mntak gaji kecil besar inti bagus deh app lulus,positif
sangat bantu cari kerja kemarin langsung beberapa panggil ga susah gunain apk tinggal masukin email cv data salah apk responnya gercep ga sampek tunggu lama moga depan lebih banyak bantu orang mudah orang yg butuh kerja bagai macam tawar kerja jadi cuma satu pilih gantung ahli kalian moga bantu,positif
aplikasi yg bagus buat pencaker lowong kerja nya verifikasi semua respon hr cepet semangat,positif
aplikasi bagus sangat bantu calon kerja cari kerja banyak lowong sesuai ahli masingmasing pokok sangat bantu terima kasih aplikasi kitalulus,positif
best apps si ku kalian sedangakan cari loker rekomendasi kitalulus sih pokok baik lah,positif
aplikasi sulit pakai utama cari kerja milik alam,negatif
mudah cari kerja lamar kerja lebih efisien tinggal klik lamar tunggu rekruter periksa lamar lanjut hubung lebih lanjut,positif
sangat bagus cocok yg sedang cari kerja buat cv lowker aplikasi inti sangat bagus depan lebih tahan evaluasi yg kurang terima kasih,positif
lulus sangat bantu ajar materi lengkap narasumber bagus,positif
aplikasi yg sangat guna bgt buat anak gen z mageran kaya aku banyak loker loker baru dalam cht admin aplikasi sangat ramah mungkin aku kendala buat daftar moga huhuuu terimakasii banyak,positif
cara mudah jadi meet job praktis efektif guna,positif
aplikasi gagal nya ajar buat apk gak usah download nyesel buang kuota,negatif
sangat bantu waktu cari kerja kmrin langsung beberapa panggil ga susah cara gunain apk tinggal masukin email cv moga depan lebih banyak bantu orang mudah orang yg butuh kerja bagai macam tawar kerja jadi cuma satu pilih gantung ahli kalian moga bantu,positif
izin kasih saran kalo promosi job batasin minggu aja minggu job list nya hilang terlalu banyak cari kerja nya usaha karyawan kerja nya promosi kasi orang cari kerja tunggu pasti,netral
bagus banget bantu mudah cari informasi kerja,positif
baguss makasih buat apknya smoga kerja lebih bagus,positif
lamar lewat aplikasi kitalulus sungguh sangat bantu segala rasa tinggal paham milik aplikasi kitalulus trmks kitalulus,positif
perlahan makin paham nih lumayan dapet cuan dg cara kerja cukup simple orang kerja cuma satu bikin cv jangan salah kitalulus baik kok sama guna butuh kerja udah ai bikinin cv jadi ga perlu ribet gampang bukan download sekarang yaa gausa ngeluh kalo cari kerja susah,positif
alhamdulillah sangat rasa bantu open rekrutmen ajar lembaga posting aplikasi kitalulus kendala admin fast respon terima kasih banyak kitalulus moga sukses selalu,positif
aplikasi bagus sedang cari kerja adminnya fast respon,positif
